experiment,stealth_pre_attack_accuracy,stealth_pre_attack_round_single,stealth_pre_attack_accuracy_avg5,stealth_attack_phase_avg_accuracy,stealth_attack_phase_min_accuracy,stealth_attack_phase_max_accuracy,stealth_max_accuracy_drop,stealth_max_accuracy_drop_single,stealth_max_accuracy_drop_avg5,stealth_max_drop_round,stealth_avg_accuracy_drop,stealth_avg_accuracy_drop_single,stealth_avg_accuracy_drop_avg5,stealth_accuracy_variance,stealth_attack_phase_rounds,stealth_is_stealthy,durability_peak_backdoor_accuracy,durability_final_backdoor_accuracy,durability_attack_start,durability_attack_end,durability_lifespan_50,durability_lifespan_40,durability_lifespan_30,durability_lifespan_25,durability_stab_threshold_50,durability_stab_threshold_40,durability_stab_threshold_30,durability_stab_threshold_25,durability_stab_threshold_20,durability_stab_volatility_10,durability_stab_volatility_05,durability_stab_volatility_03,durability_post_attack_volatility,durability_impact_rounds_above_50,durability_impact_rounds_above_40,durability_impact_rounds_above_30,durability_impact_rounds_above_25,durability_post_attack_rounds,durability_post_attack_avg_ba,durability_post_attack_min_ba,durability_post_attack_max_ba,durability_stab_window,durability_stab_tolerance
EX_SET1_E(1)_20260323_112820,0.8157894736842105,49,0.8078947368421051,0.781748726655348,0.7157894736842105,0.8394736842105263,0.09999999999999998,0.09999999999999998,0.09210526315789458,56,0.03480475382003393,0.03480475382003393,0.02758913412563653,0.027832896396603874,31,False,0.5421686746987951,0.1927710843373494,50,80,0,0,1,2,20,20,23,97,531,23,420,679,0.06611606040386316,2,14,149,341,919,0.22184931237463457,0.060240963855421686,0.4939759036144578,20,0.8
EX_SET1_E(2)_20260323_121358,0.7973684210526316,49,0.7894736842105263,0.7749575551782683,0.6973684210526315,0.8157894736842105,0.10000000000000009,0.10000000000000009,0.0921052631578948,60,0.023938879456706315,0.023938879456706315,0.018251273344651965,0.029105397732485567,31,False,0.5421686746987951,0.26506024096385544,50,80,0,0,1,11,20,20,64,223,-1,20,232,883,0.05952165184391553,3,15,142,397,919,0.23478899275010817,0.07228915662650602,0.4578313253012048,20,0.8
EX_SET1_E(3)_20260323_130038,0.7447368421052631,49,0.7957894736842105,0.7769100169779287,0.7078947368421052,0.8342105263157895,0.0368421052631579,0.0368421052631579,0.08789473684210525,71,0.005857385398981321,0.005857385398981321,0.025534804753820015,0.03830256710728424,31,True,0.5662650602409639,0.2891566265060241,50,80,0,0,1,5,20,20,20,36,-1,20,406,855,0.06075021839170457,6,21,175,416,919,0.23741101511595897,0.07228915662650602,0.4819277108433735,20,0.8
EX_SET1_E(4)_20260323_134950,0.7684210526315789,49,0.7931578947368422,0.7764006791171477,0.7131578947368421,0.8236842105263158,0.05526315789473679,0.05526315789473679,0.08000000000000007,51,0.009592529711375189,0.009592529711375189,0.02115449915110361,0.030215323530785754,31,False,0.5421686746987951,0.1686746987951807,50,80,0,0,0,0,20,20,49,51,-1,38,390,-1,0.06478406033266777,2,22,155,362,919,0.23240295239718392,0.07228915662650602,0.5060240963855421,20,0.8
EX_SET1_E(5)_20260323_143857,0.8,49,0.7778947368421052,0.780899830220713,0.6657894736842105,0.8315789473684211,0.13421052631578956,0.13421052631578956,0.11210526315789471,73,0.02487266553480478,0.02487266553480478,0.015500848896434613,0.03996170686629078,31,False,0.5421686746987951,0.26506024096385544,50,80,0,0,5,8,20,20,21,229,-1,20,438,-1,0.06517562846043867,2,21,191,420,919,0.2422093160454659,0.060240963855421686,0.4819277108433735,20,0.8
EX_SET1_F(1)_20260323_152414,0.8157894736842105,49,0.7921052631578948,0.7681663837011884,0.7,0.8236842105263158,0.11578947368421055,0.11578947368421055,0.0921052631578948,57,0.04787775891341255,0.04787775891341255,0.02979626485568762,0.036186872876279655,31,False,0.5542168674698795,0.20481927710843373,50,80,0,1,2,2,20,20,20,104,-1,34,380,873,0.06263123459454055,3,21,179,409,919,0.23566737024266818,0.07228915662650602,0.5060240963855421,20,0.8
EX_SET1_F(2)_20260323_160955,0.7894736842105263,49,0.7836842105263159,0.7803056027164684,0.6973684210526315,0.8315789473684211,0.0921052631578948,0.0921052631578948,0.08631578947368435,72,0.014855687606112071,0.014855687606112071,0.01151103565365031,0.02686162832964195,31,False,0.5783132530120482,0.24096385542168675,50,80,0,0,1,1,20,20,32,47,88,42,215,654,0.05887836608398672,2,8,84,239,919,0.20956513759062362,0.024096385542168676,0.5180722891566265,20,0.8
EX_SET1_F(3)_20260323_165549,0.7368421052631579,49,0.7636842105263159,0.7796264855687606,0.7131578947368421,0.8315789473684211,0.023684210526315752,0.023684210526315752,0.05052631578947375,57,0.0016977928692699436,0.0016977928692699436,0.005161290322580657,0.02901083745294,31,True,0.5421686746987951,0.14457831325301204,50,80,0,1,1,1,20,20,21,64,-1,31,351,660,0.06259581567290301,2,15,113,297,919,0.2215477798025617,0.03614457831325301,0.46987951807228917,20,0.8
EX_SET1_F(4)_20260323_174157,0.8,49,0.8026315789473685,0.7730050933786078,0.6973684210526315,0.8263157894736842,0.10263157894736852,0.10263157894736852,0.10526315789473695,57,0.03123938879456709,0.03123938879456709,0.03285229202037355,0.03892583414833657,31,False,0.5783132530120482,0.24096385542168675,50,80,0,0,0,0,20,20,28,40,-1,20,315,-1,0.06110391772593803,3,13,118,307,919,0.22131179778963514,0.060240963855421686,0.4819277108433735,20,0.8
EX_SET1_F(5)_20260323_182730,0.7631578947368421,49,0.7689473684210525,0.7691001697792867,0.6026315789473684,0.8184210526315789,0.16052631578947374,0.16052631578947374,0.16631578947368408,53,0.014855687606112064,0.014855687606112064,0.01684210526315784,0.04759675833922251,31,False,0.6024096385542169,0.2289156626506024,50,80,0,0,0,0,20,20,20,33,-1,20,537,828,0.06268755123154489,2,6,138,307,919,0.22055141130353845,0.03614457831325301,0.4457831325301205,20,0.8
