backdoor_accuracy,triggered_anomaly_total,triggered_anomaly_misclassified,features_found,features_missing,round,attack_active,accuracy_drop
0.13253012048192772,83,11,83,0,61,True,0.0
0.37349397590361444,83,31,83,0,62,True,0.007894736842105288
0.37349397590361444,83,31,83,0,63,True,0.02894736842105261
0.12048192771084337,83,10,83,0,64,True,0.018421052631579005
0.12048192771084337,83,10,83,0,65,True,0.0026315789473684292
0.13253012048192772,83,11,83,0,66,True,0.0
0.39759036144578314,83,33,83,0,67,True,0.0368421052631579
0.1686746987951807,83,14,83,0,68,True,-0.018421052631578894
0.5301204819277109,83,44,83,0,69,True,0.08684210526315794
0.21686746987951808,83,18,83,0,70,True,-0.018421052631578894
0.4819277108433735,83,40,83,0,71,True,0.0552631578947369
0.42168674698795183,83,35,83,0,72,True,0.026315789473684292
0.2891566265060241,83,24,83,0,73,True,0.0
0.4939759036144578,83,41,83,0,74,True,0.06052631578947376
0.20481927710843373,83,17,83,0,75,True,-0.03947368421052633
0.25301204819277107,83,21,83,0,76,True,-0.013157894736842035
0.4578313253012048,83,38,83,0,77,True,0.0552631578947369
0.25301204819277107,83,21,83,0,78,True,0.0052631578947368585
0.42168674698795183,83,35,83,0,79,True,0.0368421052631579
0.25301204819277107,83,21,83,0,80,True,-0.013157894736842035
0.2289156626506024,83,19,83,0,81,True,-0.0052631578947368585
0.1686746987951807,83,14,83,0,82,True,-0.021052631578947323
0.1566265060240964,83,13,83,0,83,True,-0.015789473684210464
0.1686746987951807,83,14,83,0,84,True,-0.018421052631578894
0.2891566265060241,83,24,83,0,85,True,0.0
0.1686746987951807,83,14,83,0,86,True,-0.021052631578947323
0.1686746987951807,83,14,83,0,87,True,-0.013157894736842035
0.14457831325301204,83,12,83,0,88,True,-0.013157894736842035
0.3373493975903614,83,28,83,0,89,True,0.0026315789473684292
0.37349397590361444,83,31,83,0,90,True,0.018421052631579005
0.2289156626506024,83,19,83,0,91,True,-0.021052631578947323
0.2891566265060241,83,24,83,0,92,True,0.007894736842105288
0.3373493975903614,83,28,83,0,93,True,0.013157894736842146
0.4457831325301205,83,37,83,0,94,True,0.05789473684210533
0.2289156626506024,83,19,83,0,95,True,0.007894736842105288
0.2289156626506024,83,19,83,0,96,True,-0.0026315789473684292
0.3132530120481928,83,26,83,0,97,True,0.015789473684210575
0.24096385542168675,83,20,83,0,98,True,-0.013157894736842035
0.18072289156626506,83,15,83,0,99,True,-0.010526315789473606
0.3132530120481928,83,26,83,0,100,False,0.0052631578947368585
0.26506024096385544,83,22,83,0,101,False,0.0
0.0963855421686747,83,8,83,0,102,False,0.0052631578947368585
0.1927710843373494,83,16,83,0,103,False,-0.015789473684210464
0.2891566265060241,83,24,83,0,104,False,-0.013157894736842035
0.3614457831325301,83,30,83,0,105,False,0.015789473684210575
0.26506024096385544,83,22,83,0,106,False,0.0
0.18072289156626506,83,15,83,0,107,False,-0.03157894736842104
0.1686746987951807,83,14,83,0,108,False,-0.03421052631578947
0.14457831325301204,83,12,83,0,109,False,-0.02894736842105261
0.14457831325301204,83,12,83,0,110,False,-0.03157894736842104
0.1927710843373494,83,16,83,0,111,False,-0.018421052631578894
0.12048192771084337,83,10,83,0,112,False,-0.02631578947368418
0.26506024096385544,83,22,83,0,113,False,-0.010526315789473606
0.20481927710843373,83,17,83,0,114,False,-0.023684210526315752
0.12048192771084337,83,10,83,0,115,False,-0.03421052631578947
0.21686746987951808,83,18,83,0,116,False,-0.02631578947368418
0.14457831325301204,83,12,83,0,117,False,-0.021052631578947323
0.2891566265060241,83,24,83,0,118,False,-0.0052631578947368585
0.1686746987951807,83,14,83,0,119,False,-0.015789473684210464
0.37349397590361444,83,31,83,0,120,False,0.023684210526315863
0.14457831325301204,83,12,83,0,121,False,-0.021052631578947323
0.13253012048192772,83,11,83,0,122,False,-0.03421052631578947
0.08433734939759036,83,7,83,0,123,False,-0.0026315789473684292
0.24096385542168675,83,20,83,0,124,False,-0.0052631578947368585
0.12048192771084337,83,10,83,0,125,False,-0.010526315789473606
0.12048192771084337,83,10,83,0,126,False,-0.02631578947368418
0.2891566265060241,83,24,83,0,127,False,-0.010526315789473606
0.1927710843373494,83,16,83,0,128,False,-0.02631578947368418
0.1686746987951807,83,14,83,0,129,False,-0.0052631578947368585
0.08433734939759036,83,7,83,0,130,False,0.015789473684210575
0.3132530120481928,83,26,83,0,131,False,0.0026315789473684292
